place,year,mass_g,longitude,latitude,fell_found,Include
LEW 86156,1986,24.5,161.39785,-84.25819,Found,0
EET 87826,1987,24.5,156.45298,-76.28486,Found,0
EET 87653,1987,24.5,156.44473,-76.28324,Found,0
LEW 88340,1988,24.5,161.44633,-84.23524,Found,0
EET 90173,1990,24.5,156.47693,-76.28438,Found,0
EET 96064,1996,24.5,157.16667,-76.18333,Found,0
QUE 97121,1997,24.5,168,-84,Found,0
QUE 99609,1999,24.5,168,-84,Found,0
QUE 99351,1999,24.5,168,-84,Found,0
SaU 545,2002,24.5,56.66567,20.53812,Found,0
NWA 2267,2002,24.5,-7.51667,28.1,Found,0
SaU 401,2004,24.5,56.63808,20.5429,Found,0
El MÌ©dano 080,2011,24.5,-70.53333,-24.85,Found,0
Y-791205,1979,24.46,35.66667,-71.5,Found,0
PCA 02028,2002,24.46,-68.7,-85.63333,Found,0
Y-791003,1979,24.45,35.66667,-71.5,Found,0
Y-791381,1979,24.41,35.66667,-71.5,Found,0
FRO 90166,1990,24.41,160.44698,-72.9531,Found,0
ALHA81219,1981,24.4,159.2975,-76.68333,Found,0
ALH 84204,1984,24.4,156.89215,-76.89116,Found,0
A-881134,1988,24.4,26,-72,Found,0
EET 90197,1990,24.4,156.49249,-76.28223,Found,0
QUE 93593,1993,24.4,168,-84,Found,0
QUE 93260,1993,24.4,162.19327,-84.59983,Found,0
MET 001121,2000,24.4,159.75,-79.68333,Found,0
MET 00833,2000,24.4,159.75,-79.68333,Found,0
LAP 02237,2002,24.4,-70,-86.36667,Found,0
GRV 020105,2003,24.4,75.25556,-72.98083,Found,0
JaH 515,2008,24.4,55.24668,19.54963,Found,0
JaH 688,2011,24.4,55.48955,19.47695,Found,0
El MÌ©dano 114,2011,24.4,-70.53333,-24.85,Found,0
Y-792893,1979,24.39,35.66667,-71.5,Found,0
Y-794091,1979,24.38,35.66667,-71.5,Found,0
A-881387,1988,24.37,26,-72,Found,0
GRV 021570,2003,24.36,75.33528,-72.93333,Found,0
GRV 051529,2006,24.36,75.29028,-72.93833,Found,0
A-881729,1988,24.35,26,-72,Found,0
Y-793215,1979,24.33,35.66667,-71.5,Found,0
Wernigerode,1970,24.3,10.78333,51.85,Found,0
ALHA77163,1977,24.3,159.66667,-76.71667,Found,0
ALH 82100,1982,24.3,156.93841,-76.97691,Found,0
ALH 83036,1983,24.3,159.39556,-76.69639,Found,0
LEW 86064,1986,24.3,161.6935,-84.27388,Found,0
LEW 87081,1987,24.3,161.39064,-84.2533,Found,0
EET 90882,1990,24.3,156.48194,-76.28771,Found,0
EET 90198,1990,24.3,156.47762,-76.2861,Found,0
QUE 93584,1993,24.3,168,-84,Found,0
EET 96221,1996,24.3,157.16667,-76.18333,Found,0
LEW 97215,1997,24.3,161.5,-84.26667,Found,0
QUE 97140,1997,24.3,168,-84,Found,0
QUE 97691,1997,24.3,168,-84,Found,0
MET 01176,2001,24.3,159.75,-79.68333,Found,0
Dho 463,2001,24.3,54.00242,18.2468,Found,0
ALH 06011,2006,24.3,158.7786,-76.71255,Found,0
O'Malley 007,2011,24.3,131.47353,-30.69047,Found,0
St. Mary's County,1919,24.3,-76.38333,38.16667,Fell,0
Y-790056,1979,24.29,35.66667,-71.5,Found,0
FRO 03076,2003,24.27,160.48642,-72.95397,Found,0
GRV 050071,2006,24.27,75.22778,-72.99056,Found,0
LAP 02269,2002,24.24,-70,-86.36667,Found,0
A-881314,1988,24.23,26,-72,Found,0
A-881082,1988,24.21,26,-72,Found,0
Y-792055,1979,24.2,35.66667,-71.5,Found,0
RKPA80267,1980,24.2,158.50946,-76.20655,Found,0
LEW 85350,1985,24.2,161.40972,-84.27745,Found,0
LEW 86388,1986,24.2,161.6933,-84.27373,Found,0
EET 87815,1987,24.2,156.45694,-76.28383,Found,0
LEW 88409,1988,24.2,161.46436,-84.23782,Found,0
LEW 88291,1988,24.2,161.42347,-84.23827,Found,0
EET 90639,1990,24.2,156.4211,-76.27616,Found,0
MET 00948,2000,24.2,159.75,-79.68333,Found,0
MET 00775,2000,24.2,155.75,-79.68333,Found,0
MET 01261,2001,24.2,159.75,-79.68333,Found,0
Dho 1436,2004,24.2,54.42333,18.42333,Found,0
El MÌ©dano 120,2011,24.2,-70.53333,-24.85,Found,0
A-880604,1988,24.19,26,-72,Found,0
MET 00762,2000,24.19,155.75,-79.68333,Found,0
LAP 02234,2002,24.18,-70,-86.36667,Found,0
Y-792782,1979,24.16,35.66667,-71.5,Found,0
Y-792940,1979,24.14,35.66667,-71.5,Found,0
A-880989,1988,24.13,26,-72,Found,0
ALHA77078,1977,24.1,159.66667,-76.71667,Found,0
ALHA78141,1978,24.1,159.66667,-76.71667,Found,0
Y-790562,1979,24.1,35.66667,-71.5,Found,0
Y-791365,1979,24.1,35.66667,-71.5,Found,0
ALHA81238,1981,24.1,159.39596,-76.69849,Found,0
EET 83370,1983,24.1,157.21695,-76.27889,Found,0
LEW 86258,1986,24.1,161.36621,-84.25457,Found,0
LEW 86510,1986,24.1,161.69159,-84.2737,Found,0
LEW 86484,1986,24.1,161.68599,-84.27386,Found,0
LEW 87190,1987,24.1,161.40634,-84.25366,Found,0
QUE 94248,1994,24.1,168,-84,Found,0
QUE 97794,1997,24.1,168,-84,Found,0
QUE 99057,1999,24.1,168,-84,Found,0
QUE 99785,1999,24.1,168,-84,Found,0
BTN 00309,2000,24.1,153.5,-80.25,Found,0
MET 00978,2000,24.1,159.75,-79.68333,Found,0
A-87087,1987,24.09,26,-72,Found,0
A-880730,1988,24.09,26,-72,Found,0
FRO 90163,1990,24.05,160.50937,-72.95435,Found,0
Y-74348,1974,24,35.9,-71.7625,Found,0
ALHA78082,1978,24,159.66667,-76.71667,Found,0
Y-791187,1979,24,35.66667,-71.5,Found,0
LEW 87062,1987,24,161.36028,-84.25424,Found,0
LEW 87192,1987,24,161.08333,-84.28333,Found,0
Mundrabilla 018,1990,24,127.5,-30.5,Found,0
EET 90423,1990,24,156.42384,-76.27697,Found,0
EET 92171,1992,24,156.03093,-76.03404,Found,0
EET 92074,1992,24,156.2343,-76.05375,Found,0
QUE 93500,1993,24,168,-84,Found,0
QUE 94587,1994,24,168,-84,Found,0
DaG 241,1997,24,16.062,27.1975,Found,0
QUE 97598,1997,24,168,-84,Found,0
NWA 170,1999,24,-5.58333,29.91667,Found,0
HrDL 005,1999,24,-117.30188,35.05063,Found,0
GRV 020238,2003,24,75.229167,-72.983056,Found,0
GRV 024129,2003,24,75.256389,-72.985,Found,0
Dho 1197,2004,24,54.364,18.92433,Found,0
Dho 1607,2004,24,54.4665,18.5575,Found,0
JaH 551,2008,24,55.18165,19.52913,Found,0
JaH 533,2008,24,55.16707,19.54055,Found,0
Caleta el Cobre 007,2010,24,-70.51667,-24.25,Found,0
A-881086,1988,23.99,26,-72,Found,0
Y-790112,1979,23.97,35.66667,-71.5,Found,0
FRO 90235,1991,23.94,160.44139,-72.95611,Found,0
GRV 022178,2003,23.94,75.30278,-72.78167,Found,0
Y-793435,1979,23.93,35.66667,-71.5,Found,0
Y-790114,1979,23.92,35.66667,-71.5,Found,0
A-880084,1988,23.92,26,-72,Found,0
GRV 022132,2003,23.92,75.31361,-72.77889,Found,0
A-880939,1988,23.91,26,-72,Found,0
A-881254,1988,23.91,26,-72,Found,0
ALHA79051,1979,23.9,159.32389,-76.70472,Found,0
RKPA80264,1980,23.9,158.67192,-76.22141,Found,0
ALH 82119,1982,23.9,156.92267,-76.9791,Found,0
EET 83262,1983,23.9,157.30889,-76.30528,Found,0
EET 87772,1987,23.9,156.43364,-76.05224,Found,0
LEW 88332,1988,23.9,161.4049,-84.27299,Found,0
EET 90006,1990,23.9,156.44781,-76.28523,Found,0
EET 90819,1990,23.9,156.45834,-76.28373,Found,0
EET 90948,1990,23.9,156.43239,-76.27646,Found,0
FRO 95033,1995,23.9,160.43361,-72.95389,Found,0
QUE 97284,1997,23.9,168,-84,Found,0
QUE 99862,1999,23.9,168,-84,Found,0
MET 01186,2001,23.9,159.75,-79.68333,Found,0
PCA 02016,2002,23.9,-68.7,-85.63333,Found,0
Dho 1302,2005,23.9,54.36237,18.91947,Found,0
Shiï¿½ï¿½r 125,2007,23.9,53.99355,18.25795,Found,0
A-881951,1988,23.88,26,-72,Found,0
MET 00679,2000,23.87,155.75,-79.68333,Found,0
Dho 816,2001,23.86,54.62818,18.97923,Found,0
A-881666,1988,23.85,26,-72,Found,0
A-881068,1988,23.84,26,-72,Found,0
MET 00881,2000,23.83,155.75,-79.68333,Found,0
ALHA77171,1977,23.8,159.66667,-76.71667,Found,0
Y-791835,1979,23.8,35.66667,-71.5,Found,0
ALHA81146,1981,23.8,159.38778,-76.70917,Found,0
Y-86052,1986,23.8,35.66667,-71.5,Found,0
LEW 88311,1988,23.8,161.39286,-84.26438,Found,0
EET 90202,1990,23.8,156.50404,-76.26882,Found,0
EET 90869,1990,23.8,156.4963,-76.28538,Found,0
EET 90913,1990,23.8,156.47414,-76.28384,Found,0
EET 90783,1990,23.8,156.46178,-76.28377,Found,0
EET 90286,1990,23.8,156.43924,-76.28024,Found,0
PCA 91268,1991,23.8,-68.79709,-85.68216,Found,0
QUE 93691,1993,23.8,168,-84,Found,0
QUE 93743,1993,23.8,168,-84,Found,0
QUE 97616,1997,23.8,168,-84,Found,0
QUE 97723,1997,23.8,168,-84,Found,0
RaW 039,2006,23.8,58.4124,21.37162,Found,0
Y-790968,1979,23.79,35.66667,-71.5,Found,0
A-881905,1988,23.77,26,-72,Found,0
PCA 02045,2002,23.76,-68.7,-85.63333,Found,0
A-881804,1988,23.74,26,-72,Found,0
Y-74469,1974,23.73,35.66667,0,Found,0
Y-791751,1979,23.72,35.66667,-71.5,Found,0
A-881113,1988,23.72,26,-72,Found,0
ALHA81068,1981,23.7,159.36056,-76.68778,Found,0
ALHA81171,1981,23.7,159.37972,-76.68861,Found,0
ALHA81061,1981,23.7,159.40083,-76.70167,Found,0
EET 83314,1983,23.7,157.1975,-76.31028,Found,0
LEW 85464,1985,23.7,161.3989,-84.26537,Found,0
LEW 86076,1986,23.7,161.38373,-84.25027,Found,0
LEW 86409,1986,23.7,161.39917,-84.25482,Found,0
PCA 91092,1991,23.7,-69.02283,-85.65653,Found,0
EET 92090,1992,23.7,155.99312,-76.10605,Found,0
QUE 94649,1994,23.7,168,-84,Found,0
QUE 94648,1994,23.7,168,-84,Found,0
PRE 95416,1995,23.7,-165.11667,-86.56667,Found,0
QUE 97469,1997,23.7,168,-84,Found,0
QUE 99321,1999,23.7,168,-84,Found,0
QUE 99357,1999,23.7,168,-84,Found,0
DaG 829,2000,23.7,16.13933,27.479,Found,0
MET 00900,2000,23.7,155.75,-79.68333,Found,0
MET 01132,2001,23.7,159.75,-79.68333,Found,0
MET 01289,2001,23.7,159.75,-79.68333,Found,0
Y-792899,1979,23.69,35.66667,-71.5,Found,0
Y-791571,1979,23.68,35.66667,-71.5,Found,0
Y-791922,1979,23.65,35.66667,-71.5,Found,0
Y-793192,1979,23.65,35.66667,-71.5,Found,0
Y-791459,1979,23.65,35.66667,-71.5,Found,0
A-881159,1988,23.63,26,-72,Found,0
Y-86188,1986,23.62,35.66667,-71.5,Found,0
ALHA77253,1977,23.6,159.66667,-76.71667,Found,0
RC 010,1979,23.6,-103.5,33.08333,Found,0
LEW 86100,1986,23.6,161.61748,-84.27858,Found,0
EET 87612,1987,23.6,156.45847,-76.27047,Found,0
LEW 88671,1988,23.6,161.41767,-84.27484,Found,0
PCA 91321,1991,23.6,-69.0633,-85.67671,Found,0
Hughes 020,1991,23.6,129.0185,-30.27467,Found,0
QUE 94749,1994,23.6,168,-84,Found,0
QUE 94767,1994,23.6,168,-84,Found,0
QUE 97679,1997,23.6,168,-84,Found,0
QUE 99170,1999,23.6,168,-84,Found,0
Dho 1463,2008,23.6,54.16155,18.45278,Found,0
A-880626,1988,23.58,26,-72,Found,0
A-882107,1988,23.58,26,-72,Found,0
GRV 021503,2003,23.56,75.26556,-72.94833,Found,0
A-881648,1988,23.55,26,-72,Found,0
Y-86283,1986,23.53,35.66667,-71.5,Found,0
A-881221,1988,23.53,26,-72,Found,0
A-880914,1988,23.53,26,-72,Found,0
Y-791907,1979,23.52,35.66667,-71.5,Found,0
Y-86287,1986,23.52,35.66667,-71.5,Found,0
Y-75291,1975,23.5,35.66667,-71.5,Found,0
FRO 84007,1984,23.5,160.47328,-72.95488,Found,0
LEW 87236,1987,23.5,161.71594,-84.27275,Found,0
ALH 88041,1988,23.5,159.34557,-76.68127,Found,0
EET 90301,1990,23.5,156.47879,-76.28119,Found,0
EET 90510,1990,23.5,156.43485,-76.28902,Found,0
Reid 015,1991,23.5,128.635,-30.28667,Found,0
QUE 93551,1993,23.5,168,-84,Found,0
QUE 97758,1997,23.5,168,-84,Found,0
QUE 99699,1999,23.5,168,-84,Found,0
GRV 020099,2003,23.5,75.20417,-72.9975,Found,0
RaS 248,2005,23.5,56.24737,20.30678,Found,0
Tieret 002,2009,23.5,10.24557,30.79576,Found,0
A-880748,1988,23.49,26,-72,Found,0
Y-791476,1979,23.47,35.66667,-71.5,Found,0
FRO 90234,1990,23.47,160.44117,-72.95564,Found,0
Y-82126,1982,23.45,35.66667,-71.5,Found,0
JaH 080,2003,23.41,55.6798,19.58403,Found,0
ALH 84249,1984,23.4,156.87774,-76.98428,Found,0
LEW 86143,1986,23.4,161.34166,-84.25792,Found,0
LEW 86524,1986,23.4,161.34523,-84.26857,Found,0
EET 87610,1987,23.4,156.51318,-76.27101,Found,0
EET 87694,1987,23.4,156.44139,-76.28204,Found,0
EET 87686,1987,23.4,156.43867,-76.28199,Found,0
LEW 88125,1988,23.4,161.37471,-84.2528,Found,0
EET 90900,1990,23.4,156.47701,-76.28431,Found,0
EET 90932,1990,23.4,156.44173,-76.27447,Found,0
PCA 91204,1991,23.4,-68.71682,-85.68153,Found,0
MCY 92500,1992,23.4,162,-76.96667,Found,0
QUE 93698,1993,23.4,168,-84,Found,0
QUE 94281,1994,23.4,168,-84,Found,0
QUE 97263,1997,23.4,168,-84,Found,0
QUE 97316,1997,23.4,168,-84,Found,0
MET 00431,2000,23.4,155.75,-79.68333,Found,0
MET 00873,2000,23.4,159.75,-79.68333,Found,0
FRO 09007,2009,23.4,160.45612,-72.95392,Found,0
A-9036,1990,23.37,26,-72,Found,0
QUE 99822,1999,23.35,168,-84,Found,0
FRO 90158,1990,23.33,160.5034,-72.95413,Found,0
Dho 823,2001,23.33,54.49242,19.05025,Found,0
FRO 90160,1990,23.32,160.50371,-72.95404,Found,0
Y-790469,1979,23.31,35.66667,-71.5,Found,0
Y-790451,1979,23.31,35.66667,-71.5,Found,0
A-880954,1988,23.31,26,-72,Found,0
GRV 022142,2003,23.31,75.31361,-72.77889,Found,0
ALHA77175,1977,23.3,159.66667,-76.71667,Found,0
Y-791043,1979,23.3,35.66667,-71.5,Found,0
LEW 86354,1986,23.3,161.35942,-84.27633,Found,0
EET 90637,1990,23.3,156.42751,-76.27134,Found,0
PCA 91432,1991,23.3,-68.7,-85.63333,Found,0
QUE 94597,1994,23.3,168,-84,Found,0
FRO 99016,1999,23.3,160.40167,-72.995,Found,0
MET 00871,2000,23.3,159.75,-79.68333,Found,0
El MÌ©dano 119,2010,23.3,-70.53333,-24.85,Found,0
Y-791824,1979,23.28,35.66667,-71.5,Found,0
MET 00898,2000,23.28,155.75,-79.68333,Found,0
Y-792014,1979,23.27,35.66667,-71.5,Found,0
MAC 02644,2002,23.27,160.5,-84.21667,Found,0
A-880219,1988,23.26,26,-72,Found,0
MET 00737,2000,23.24,155.75,-79.68333,Found,0
Y-74613,1974,23.2,35.975,-71.72639,Found,0
ALHA78149,1978,23.2,159.66667,-76.71667,Found,0
LEW 86090,1986,23.2,161.34092,-84.25828,Found,0
EET 87519,1987,23.2,156.43938,-76.28341,Found,0
EET 87650,1987,23.2,156.4458,-76.27989,Found,0
LEW 88318,1988,23.2,161.41493,-84.26618,Found,0
EET 90217,1990,23.2,156.52369,-76.27133,Found,0
EET 90389,1990,23.2,156.42946,-76.26948,Found,0
PCA 91294,1991,23.2,-68.92775,-85.68783,Found,0
QUE 93123,1993,23.2,162.56576,-84.57558,Found,0
QUE 94679,1994,23.2,168,-84,Found,0
QUE 97260,1997,23.2,168,-84,Found,0
QUE 97420,1997,23.2,168,-84,Found,0
QUE 99113,1999,23.2,168,-84,Found,0
QUE 99112,1999,23.2,168,-84,Found,0
QUE 99720,1999,23.2,168,-84,Found,0
SaU 077,2001,23.2,57.33,21.01183,Found,0
Barnaul,1904,23.2,84.08333,52.73333,Fell,0
GRV 052488,2006,23.19,75.31611,-72.77972,Found,0
SaU 424,2005,23.16,57.31615,21.26852,Found,0
RaW 010,2006,23.16,58.36358,21.1383,Found,0
Y-86285,1986,23.15,35.66667,-71.5,Found,0
MET 00686,2000,23.14,155.75,-79.68333,Found,0
A-881303,1988,23.12,26,-72,Found,0
Y-82130,1982,23.11,35.66667,-71.5,Found,0
RaW 012,2006,23.11,58.41087,21.16743,Found,0
Y-74175,1974,23.1,35.45,-71.73472,Found,0
Y-793428,1979,23.1,35.66667,-71.5,Found,0
ALH 84259,1984,23.1,158.78281,-76.7137,Found,0
LEW 87232,1987,23.1,161.39314,-84.34201,Found,0
EET 87750,1987,23.1,156.45564,-76.2838,Found,0
LEW 88024,1988,23.1,161.39897,-84.25164,Found,0
LEW 88507,1988,23.1,161.3303,-84.2906,Found,0
EET 90628,1990,23.1,156.36046,-76.29366,Found,0
EET 90211,1990,23.1,156.48975,-76.27784,Found,0
EET 90683,1990,23.1,156.44137,-76.27894,Found,0
EET 90397,1990,23.1,156.40602,-76.26833,Found,0
PCA 91347,1991,23.1,-68.80952,-85.6815,Found,0
FRO 97010,1997,23.1,160.4825,-72.95306,Found,0
QUE 97281,1997,23.1,168,-84,Found,0
QUE 97995,1997,23.1,168,-84,Found,0
MET 001061,2000,23.1,159.75,-79.68333,Found,0
MET 001116,2000,23.1,159.75,-79.68333,Found,0
MET 01219,2001,23.1,159.75,-79.68333,Found,0
GRV 020181,2003,23.1,75.26444,-72.99444,Found,0
CdDL 017,2008,23.1,-117.48305,35.28528,Found,0
A-881739,1988,23.09,26,-72,Found,0
Y-790388,1979,23.05,35.66667,-71.5,Found,0
Y-791366,1979,23.04,35.66667,-71.5,Found,0
Y-82022,1982,23.04,35.66667,-71.5,Found,0
Coyote Mountains,1998,23.04,-111.5,31.91667,Found,0
Bonnie Claire 001,1998,23.03,-117.08333,37.21667,Found,0
ALHA77013,1977,23,159.66667,-76.71667,Found,0
ALH 85112,1985,23,156.30473,-76.85329,Found,0
LEW 86060,1986,23,161.38736,-84.25151,Found,0
LEW 87087,1987,23,161.39534,-84.25319,Found,0
LEW 88168,1988,23,161.37895,-84.24793,Found,0
EET 90938,1990,23,156.42752,-76.2721,Found,0
EET 92072,1992,23,156.21656,-76.05045,Found,0
QUE 93689,1993,23,168,-84,Found,0
Hughes 035,1993,23,129.5,-30.33333,Found,0
EET 96242,1996,23,157.16667,-76.18333,Found,0
LEW 97216,1997,23,161.5,-84.26667,Found,0
QUE 97338,1997,23,168,-84,Found,0
QUE 97287,1997,23,168,-84,Found,0
GRA 98083,1998,23,-141.5,-86.71667,Found,0
Bluewing 002,1999,23,-118.94763,40.24148,Found,0
QUE 99056,1999,23,168,-84,Found,0
QUE 99124,1999,23,168,-84,Found,0
QUE 99580,1999,23,168,-84,Found,0
DaG 661,1999,23,16.38333,27.05,Found,0
MET 001019,2000,23,159.75,-79.68333,Found,0
DaG 932,2000,23,16.23333,27.4,Found,0
DaG 826,2000,23,16.3975,27.05683,Found,0
MET 001021,2000,23,159.75,-79.68333,Found,0
Shiï¿½ï¿½r 148,2007,23,53.99667,18.25072,Found,0
UAE 008,2009,23,55.09453,22.79064,Found,0
El MÌ©dano 063,2011,23,-70.53333,-24.85,Found,0
El MÌ©dano 112,2011,23,-70.53333,-24.85,Found,0
Kutais,1977,23,39.3,44.51667,Fell,0
Y-86074,1986,22.99,35.66667,-71.5,Found,0
Y-790045,1979,22.98,35.66667,-71.5,Found,0
Y-790983,1979,22.96,35.66667,-71.5,Found,0
A-87079,1987,22.95,26,-72,Found,0
Y-791228,1979,22.92,35.66667,-71.5,Found,0
GRV 051651,2006,22.92,75.3275,-72.77917,Found,0
Y-791225,1979,22.91,35.66667,-71.5,Found,0
Y-74138,1974,22.9,35.66667,-71.5,Found,0
ALHA81272,1981,22.9,159.40222,-76.70083,Found,0
LEW 86183,1986,22.9,161.34923,-84.25846,Found,0
LEW 88712,1988,22.9,161.55964,-84.23055,Found,0
EET 90259,1990,22.9,156.48512,-76.27308,Found,0
EET 90078,1990,22.9,156.45895,-76.26699,Found,0
EET 90927,1990,22.9,156.43542,-76.2705,Found,0
EET 90571,1990,22.9,156.43498,-76.2783,Found,0
EET 90694,1990,22.9,156.42524,-76.28927,Found,0
QUE 94293,1994,22.9,168,-84,Found,0
ALH 94014,1994,22.9,159.66667,-76.71667,Found,0
QUE 97123,1997,22.9,168,-84,Found,0
QUE 97918,1997,22.9,168,-84,Found,0
MET 001047,2000,22.9,159.75,-79.68333,Found,0
MET 001103,2000,22.9,159.75,-79.68333,Found,0
MET 01200,2001,22.9,159.75,-79.68333,Found,0
MET 01150,2001,22.9,159.75,-79.68333,Found,0
LAP 02409,2002,22.9,-70,-86.36667,Found,0
JaH 746,,22.9,56.46556,19.84528,Found,0
Y-791158,1979,22.89,35.66667,-71.5,Found,0
Y-86076,1986,22.89,35.66667,-71.5,Found,0
Y-86067,1986,22.84,35.66667,-71.5,Found,0
A-881432,1988,22.82,26,-72,Found,0
RC 049,1971,22.8,-103.5,34.08333,Found,0
Y-791219,1979,22.8,35.66667,-71.5,Found,0
A-881297,1988,22.8,26,-72,Found,0
LEW 88063,1988,22.8,161.45055,-84.24536,Found,0
EET 90024,1990,22.8,156.47872,-76.28843,Found,0
EET 90677,1990,22.8,156.45267,-76.26993,Found,0
EET 90739,1990,22.8,156.44923,-76.26871,Found,0
EET 90570,1990,22.8,156.43953,-76.27518,Found,0
EET 90568,1990,22.8,156.43945,-76.26959,Found,0
PAT 91521,1991,22.8,-67.45795,-84.96163,Found,0
QUE 94342,1994,22.8,168,-84,Found,0
QUE 97565,1997,22.8,168,-84,Found,0
QUE 97873,1997,22.8,168,-84,Found,0
MET 01210,2001,22.8,159.75,-79.68333,Found,0
JaH 796,,22.8,55.74861,19.80861,Found,0
SaU 203,2002,22.79,57.29485,21.07102,Found,0
A-881464,1988,22.76,26,-72,Found,0
GRV 022124,2003,22.75,75.31361,-72.77889,Found,0
A-881505,1988,22.74,26,-72,Found,0
RaW 033,2006,22.72,58.413,21.36203,Found,0
GRV 052011,2006,22.72,75.31889,-72.77889,Found,0
Y-793237,1979,22.71,35.66667,-71.5,Found,0
GRV 053083,2006,22.71,75.315556,-72.779167,Found,0
Y-75019,1975,22.7,35.66667,-71.5,Found,0
ALHA78189,1978,22.7,159.66667,-76.71667,Found,0
ALHA81186,1981,22.7,159.37,-76.70944,Found,0
PCA 82520,1982,22.7,-68.72444,-85.67975,Found,0
LEW 86315,1986,22.7,161.68976,-84.27379,Found,0
LEW 87026,1987,22.7,161.39896,-84.25304,Found,0
LEW 88341,1988,22.7,161.40412,-84.26981,Found,0
EET 90317,1990,22.7,156.47271,-76.28105,Found,0
EET 90087,1990,22.7,156.46541,-76.27955,Found,0
PCA 91446,1991,22.7,-69.05905,-85.67856,Found,0
QUE 94350,1994,22.7,168,-84,Found,0
QUE 94349,1994,22.7,168,-84,Found,0
QUE 94599,1994,22.7,168,-84,Found,0
EET 96278,1996,22.7,157.16667,-76.18333,Found,0
LEW 97223,1997,22.7,161.5,-84.26667,Found,0
QUE 97798,1997,22.7,168,-84,Found,0
QUE 99824,1999,22.7,168,-84,Found,0
Y-790455,1979,22.68,35.66667,-71.5,Found,0
Y-8001,1980,22.68,35.5,-71.83333,Found,0
Y-86811,1986,22.64,35.66667,-71.5,Found,0
GRV 051565,2006,22.63,75.314167,-72.935,Found,0
Y-791936,1979,22.61,35.66667,-71.5,Found,0
Y-791610,1979,22.61,35.66667,-71.5,Found,0
ALHA78159,1978,22.6,159.66667,-76.71667,Found,0
META78021,1978,22.6,155.75,-79.68333,Found,0
ALHA79052,1979,22.6,159.36333,-76.68944,Found,0
LEW 86251,1986,22.6,161.68793,-84.27375,Found,0
EET 87857,1987,22.6,156.45391,-76.28278,Found,0
LEW 88714,1988,22.6,161.35524,-84.27455,Found,0
ALH 88042,1988,22.6,159.28726,-76.69471,Found,0
QUE 93550,1993,22.6,168,-84,Found,0
LEW 93870,1993,22.6,161.68474,-84.27386,Found,0
QUE 94770,1994,22.6,168,-84,Found,0
QUE 971012,1997,22.6,168,-84,Found,0
QUE 97091,1997,22.6,168,-84,Found,0
QUE 97447,1997,22.6,168,-84,Found,0
QUE 99121,1999,22.6,168,-84,Found,0
DaG 896,2000,22.6,16.88333,27.75,Found,0
MET 001035,2000,22.6,159.75,-79.68333,Found,0
MET 001078,2000,22.6,159.75,-79.68333,Found,0
JaH 674,2011,22.6,55.69758,19.66163,Found,0
El MÌ©dano 042,2011,22.6,-70.53333,-24.85,Found,0
A-881106,1988,22.58,26,-72,Found,0
SaU 252,2002,22.56,57.19753,20.59093,Found,0
Y-792342,1979,22.55,35.66667,-71.5,Found,0
MET 00681,2000,22.54,155.75,-79.68333,Found,0
RaS 212,2003,22.54,55.83592,20.59412,Found,0
GRV 021595,2003,22.53,75.29167,-72.82444,Found,0
LAP 02392,2002,22.51,-70,-86.36667,Found,0
ALHA78171,1978,22.5,159.66667,-76.71667,Found,0
EET 83247,1983,22.5,157.2925,-76.30056,Found,0
LEW 85462,1985,22.5,161.34037,-84.28587,Found,0
LEW 86434,1986,22.5,161.6925,-84.27372,Found,0
LEW 86503,1986,22.5,161.40174,-84.26583,Found,0
LEW 86041,1986,22.5,161.3942,-84.25331,Found,0
LEW 86204,1986,22.5,161.36411,-84.26644,Found,0
LEW 87287,1987,22.5,161.71481,-84.2727,Found,0
EET 87625,1987,22.5,156.03157,-76.03337,Found,0
A-881247,1988,22.5,26,-72,Found,0
A-880686,1988,22.5,26,-72,Found,0
LEW 88757,1988,22.5,161.38005,-84.27997,Found,0
EET 90329,1990,22.5,156.43614,-76.2811,Found,0
QUE 94748,1994,22.5,168,-84,Found,0
QUE 97529,1997,22.5,168,-84,Found,0
PCA 02009,2002,22.5,-68.7,-85.63333,Found,0
GRV 022206,2003,22.5,75.30222,-72.78083,Found,0
CyDL 222,2004,22.5,-116.75553,35.04008,Found,0
El MÌ©dano 082,2011,22.5,-70.53333,-24.85,Found,0
A-880290,1988,22.49,26,-72,Found,0
Y-791415,1979,22.46,35.66667,-71.5,Found,0
Y-791914,1979,22.45,35.66667,-71.5,Found,0
Y-790742,1979,22.44,35.66667,-71.5,Found,0
Y-82034,1982,22.44,35.66667,-71.5,Found,0
Dho 803,2001,22.43,54.53503,19.0586,Found,0
Y-794062,1979,22.41,35.66667,-71.5,Found,0
LEW 86269,1986,22.4,161.39083,-84.25206,Found,0
EET 90226,1990,22.4,156.50042,-76.27407,Found,0
Sinawan 004,1991,22.4,11.61667,30.96667,Found,0
QUE 97742,1997,22.4,168,-84,Found,0
GRA 98028,1998,22.4,-141.5,-86.71667,Found,0
GRA 98134,1998,22.4,-141.5,-86.71667,Found,0
QUE 99807,1999,22.4,168,-84,Found,0
PCA 02007,2002,22.4,-68.7,-85.63333,Found,0
PCA 02036,2002,22.39,-68.7,-85.63333,Found,0
A-881649,1988,22.36,26,-72,Found,0
Y-75138,1975,22.34,35.66667,-71.5,Found,0
MET 00680,2000,22.34,155.75,-79.68333,Found,0
ALH 83106,1983,22.3,156.90753,-76.96393,Found,0
