place,year,mass_g,longitude,latitude,fell_found,Include
Pallasovka,1990,198000,46.61167,49.86667,Found,0
Kenton County,1889,194000,-84.6,38.81667,Found,0
Owens Valley,1913,192800,-118,37.46667,Found,0
Guanghua,1932,190000,111.7,32.4,Found,0
Admire,1881,180000,-96.1,38.7,Found,0
Travis County (a),1889,175400,-97.7,30.3,Found,0
Iron Creek,1869,175000,-112,53,Found,0
Tanokami Mountain,1885,174000,135.96667,34.91667,Found,0
Tamir-Tsetserleg,1956,173000,101.47917,47.45,Found,0
Owasco,1984,168400,-103.68333,41.2,Found,0
Madoc,1854,168000,-77.46667,44.5,Found,0
Manlai,1954,166800,106.5,44.33333,Found,0
Djati-Pengilon,1884,166000,111.5,-7.5,Fell,0
SÌ£o JuliÌ£o de Moreira,1883,162000,-8.58361,41.76611,Found,0
Knowles,1903,161000,-100.21667,36.9,Found,0
Garabato,1995,160000,-60.2,-28.86667,Found,0
Qijiaojing,2003,160000,92.91667,43.75,Found,0
Tenham,1879,160000,142.95,-25.73333,Fell,0
Mount Vernon,1868,159000,-87.4,36.93333,Found,0
Longchang,1781,158500,105.3,29.3,Found,0
Kimble County,1918,153800,-99.4,30.41667,Found,0
Bluff (a),1878,153300,-96.87222,29.87861,Found,0
Forest City,1890,152000,-93.66667,43.25,Fell,0
Glasatovo,1918,152000,37.61667,57.35,Fell,0
Magura,1840,150000,19.48333,49.33333,Found,0
McKinney,1870,150000,-96.71667,33.18333,Found,0
Tres Castillos,1992,150000,-105.8,29.47,Found,0
Jalu,2000,150000,21.68333,27.95833,Found,0
Shirokovsky,2002,150000,57.95,58.8,Found,0
Weston,1807,150000,-73.266667,41.266667,Fell,0
Olivenza,1924,150000,-7.06667,38.71667,Fell,0
Wiluna,1967,150000,120.32833,-26.59278,Fell,0
Mbale,1992,150000,34.16667,1.06667,Fell,0
MontferrÌ©,1923,149000,1.9625,43.39056,Fell,0
Orange River (iron),1855,148800,25,-30,Found,0
Glorieta Mountain,1884,148000,-105.8,35.6,Found,0
Camp Wood,,148000,-99.875,29.7725,Found,0
Gilgoin,1889,147000,147.2,-30.38333,Found,0
Wichita County,1836,145000,-98.91667,34.06667,Found,0
Molina,1858,144000,-1.16667,38.11667,Fell,0
Keyes,1939,142000,-102.5,36.71667,Found,0
El Sampal,1973,142000,-70.36667,-44.53333,Found,0
Tambo Quemado,1950,141000,-74.5,-14.66667,Found,0
Selma,1906,140600,-87,32.4,Found,0
Huizopa,1907,140000,-108.56667,28.9,Found,0
Ider,1957,140000,-85.65,34.68333,Found,0
Korra Korrabes,1996,140000,18.08333,-25.2,Found,0
Brainard,1978,138300,-96.955,41.15333,Found,0
DRPA78009,1978,138100,156.38333,-80.06667,Found,0
Cape of Good Hope,1793,136000,26,-33.5,Found,0
Babb's Mill (Blake's Iron),1876,136000,-82.88333,36.3,Found,0
Kesen,1850,135000,141.61667,38.98333,Fell,0
Colomera,1912,134000,-3.65,37.43333,Found,0
Carnegie,1963,132700,-98.64389,35.16667,Found,0
Araslanovo,1973,132000,48.2,55.14167,Found,0
Karavannoe,,132000,47.67967,57.78117,Found,0
Dong Ujimqin Qi,1995,128800,119.03333,45.5,Fell,0
Chebankol,1938,127760,88,53.66667,Found,0
Ozona,1929,127500,-101.3,30.73333,Found,0
Carthage,1840,127000,-85.98333,36.26667,Found,0
Keqi,1966,127000,117.5,42.73333,Found,0
Ensisheim,1492,127000,7.35,47.86667,Fell,0
Dho 005,2000,125500,54.16667,18.16667,Found,0
JaH 091,2002,123374,56.65432,19.69362,Found,0
Bur-Gheluai,1919,120000,48,5,Fell,0
Santiago Papasquiero,1958,119500,-106,24.5,Found,0
Duketon,1948,118300,122.36667,-27.5,Found,0
Bencubbin,1930,118000,117.78333,-30.75,Found,0
Scurry,1937,118000,-101,32.5,Found,0
Para de Minas,1934,116300,-44.61667,-19.86667,Found,0
Cleveland,1860,115000,-84.78333,34.88333,Found,0
Tafassasset,2000,114000,10.44167,20.76333,Found,0
Caperr,1869,113900,-70.48333,-45.28333,Found,0
Buenaventura,1969,113600,-107.55,29.8,Found,0
Gundaring,1937,112500,117.66667,-33.3,Found,0
Oakley (iron),1926,111000,-113.7,42.33333,Found,0
Florey,1978,110800,-102.705,32.5225,Found,0
Etosha,1970,110700,16,-18.5,Found,0
LEW 85320,1985,110224,161.41628,-84.26223,Found,0
Mount Tazerzait,1991,110000,4.8,18.7,Fell,0
Sulagiri,2008,110000,78.03333,12.66667,Fell,0
Lenarto,1814,108500,21,49,Found,0
Tiberrhamine,1967,107000,0.53333,28.11667,Found,0
Elbogen,1400,107000,12.73333,50.18333,Fell,0
Abee,1952,107000,-113,54.21667,Fell,0
Faith,1952,105000,-102.08333,45.33333,Found,0
Cook 001,1989,105000,130.53333,-30.33333,Found,0
Chico,1954,104800,-104.2,36.5,Found,0
Juncal,1866,104000,-69.25,-26,Found,0
Molong,1912,104000,148.88333,-33.28333,Found,0
Colby (Wisconsin),1917,104000,-90.28333,44.9,Fell,0
Udei Station,1927,103000,8.08333,7.95,Fell,0
Rifle,1948,102700,-107.83333,38.51667,Found,0
Seelï¿½_sgen,1847,102000,15.55,52.26667,Found,0
Sevrukovo,1874,101000,36.6,50.61667,Fell,0
Lutschaunig's Stone,1861,100000,-70,-27,Found,0
Pierceville (iron),1917,100000,-100.66667,37.86667,Found,0
Dimitrovgrad,1949,100000,22.86389,43.04639,Found,0
Budulan,1962,100000,114.9,50.56667,Found,0
Faucett,1966,100000,-94.86667,39.61667,Found,0
Retuerta del Bullaque,1980,100000,-4.3775,39.45889,Found,0
Anyujskij,1981,100000,164.2,66.9,Found,0
Cook 007,1989,100000,130.41667,-30.61667,Found,0
Franconia,2002,100000,-114.22197,34.71637,Found,0
Bou Azarif,2010,100000,-5.15262,31.15643,Found,0
Paranaiba,1956,100000,-51.66667,-19.13333,Fell,0
Murchison,1969,100000,145.2,-36.61667,Fell,0
Kidairat,1983,100000,28,14,Fell,0
Gujba,1984,100000,11.65833,11.49167,Fell,0
Juancheng,1997,100000,115.41667,35.5,Fell,0
Chergach,2007,100000,-5.01472,23.69639,Fell,0
Tamdakht,2008,100000,-7.015,31.16333,Fell,0
Social Circle,1927,99300,-83.7,33.7,Found,0
Steinbach,1724,98000,12.5,50.5,Found,0
